epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.53604,1.03328,4.38124,1.38171,0.00311,0.63889,0.06796,0.04993,0.54002,4.47912,0.99513,0.0002499,0.0002499,0.0002499
2,6.86186,0.94871,4.13232,1.28181,0.00494,0.66667,0.15496,0.07952,0.80444,4.69371,1.19825,0.000522344,0.000522344,0.000522344
3,8.08976,0.94022,3.63566,1.27551,0.00436,0.66667,0.18894,0.15273,0.61211,4.57351,1.09059,0.00078929,0.00078929,0.00078929
4,9.34223,1.0653,3.31933,1.34594,0.00452,0.63889,0.19393,0.17663,0.91637,4.71587,1.30581,0.00080826,0.00080826,0.00080826
5,10.6003,1.07885,3.16086,1.37231,0.82895,0.11111,0.35959,0.22109,0.97975,4.42787,1.44059,0.000800013,0.000800013,0.000800013
6,11.8395,1.09644,2.80258,1.36749,0.69484,0.15601,0.27849,0.17533,1.02936,4.20925,1.48115,0.000791767,0.000791767,0.000791767
7,13.0771,1.07923,2.59723,1.35687,0.56572,0.19637,0.30285,0.2188,0.81287,4.01777,1.23782,0.00078352,0.00078352,0.00078352
8,14.3374,1.08485,2.44919,1.38704,0.6513,0.31944,0.39343,0.29439,0.76386,3.6489,1.17145,0.000775273,0.000775273,0.000775273
9,15.6338,0.94933,2.23495,1.26646,0.63185,0.37686,0.42116,0.31582,0.76238,3.56542,1.12898,0.000767026,0.000767026,0.000767026
10,16.9133,0.96364,1.98784,1.2544,0.69963,0.5,0.60914,0.53062,0.74729,3.37444,1.20017,0.00075878,0.00075878,0.00075878
11,18.2021,0.93295,1.91259,1.27885,0.67427,0.56547,0.75033,0.62695,0.72233,3.07766,1.23897,0.000750533,0.000750533,0.000750533
12,19.4834,0.91608,1.8238,1.21847,0.7003,0.88792,0.82584,0.71471,0.64646,2.7174,1.03952,0.000742286,0.000742286,0.000742286
13,20.7324,0.86181,1.72426,1.187,0.69067,0.94314,0.85048,0.7262,0.66549,2.64981,1.04194,0.00073404,0.00073404,0.00073404
14,22.0191,0.91248,1.75477,1.23801,0.72191,0.87463,0.96116,0.78967,0.7295,2.23166,1.13923,0.000725793,0.000725793,0.000725793
15,23.2694,0.86319,1.57213,1.17222,0.86498,0.77829,0.8728,0.66744,0.75711,2.13485,1.14856,0.000717546,0.000717546,0.000717546
16,24.5202,0.88578,1.58163,1.19287,0.76087,0.73632,0.84523,0.72043,0.62231,1.95586,1.02948,0.000709299,0.000709299,0.000709299
17,25.7563,0.88296,1.54644,1.19109,0.89284,0.81939,0.92124,0.78861,0.6094,1.70609,1.00566,0.000701053,0.000701053,0.000701053
18,27.0315,0.8617,1.39687,1.2057,0.87213,0.88889,0.92528,0.78485,0.6081,1.64503,1.01262,0.000692806,0.000692806,0.000692806
19,28.2646,0.85987,1.45989,1.16636,0.94049,0.81935,0.94871,0.80097,0.61699,1.6142,1.02023,0.000684559,0.000684559,0.000684559
