epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.59966,1.13646,4.50126,1.46492,0.00238,0.69048,0.02877,0.02358,1.06201,5.4999,1.22453,0.0002499,0.0002499,0.0002499
2,5.96186,1.02389,4.18024,1.3254,0.00398,0.71429,0.13971,0.08458,1.11509,5.43147,1.4184,0.000522344,0.000522344,0.000522344
3,7.31852,1.12557,3.76351,1.37672,0.00304,0.71429,0.2122,0.1704,1.35614,5.83485,1.64321,0.00078929,0.00078929,0.00078929
4,8.64366,1.17132,3.57243,1.46326,0.10981,0.78571,0.32426,0.26101,1.21743,5.40493,1.55106,0.00080826,0.00080826,0.00080826
5,9.97293,1.22163,3.2167,1.48403,0.00241,0.71429,0.25562,0.20091,1.07555,5.21069,1.51456,0.000800013,0.000800013,0.000800013
6,11.3074,1.14888,2.79528,1.43484,0.259,0.8631,0.33728,0.23607,1.24831,5.01343,1.6503,0.000791767,0.000791767,0.000791767
7,12.6021,1.16275,2.50785,1.39301,0.79699,0.16667,0.39036,0.30283,1.46808,4.87437,1.95982,0.00078352,0.00078352,0.00078352
8,13.9528,1.13153,2.33034,1.3536,0.80625,0.30952,0.36912,0.2966,1.40839,4.4584,1.97233,0.000775273,0.000775273,0.000775273
9,15.2483,1.04405,2.11494,1.27902,0.48953,0.30617,0.27665,0.19157,1.5326,4.67442,2.14798,0.000767026,0.000767026,0.000767026
10,16.5733,1.04928,2.03701,1.27114,0.74314,0.54075,0.53033,0.37801,1.49664,4.82741,1.99896,0.00075878,0.00075878,0.00075878
11,17.9088,1.00212,1.89914,1.27141,0.76648,0.56548,0.64226,0.4811,1.37168,3.99174,1.61687,0.000750533,0.000750533,0.000750533
12,19.2355,0.95201,1.78181,1.2202,0.65975,0.5689,0.63697,0.44412,1.03451,4.04359,1.49847,0.000742286,0.000742286,0.000742286
13,20.5395,0.94585,1.71775,1.19984,0.58402,0.643,0.6721,0.49217,1.18066,3.66298,1.56422,0.00073404,0.00073404,0.00073404
14,21.9094,0.94601,1.72648,1.22255,0.73944,0.73384,0.79262,0.61151,1.26313,2.99261,1.52277,0.000725793,0.000725793,0.000725793
15,23.2102,0.89251,1.63611,1.1776,0.94664,0.71282,0.81069,0.63292,1.1945,2.97367,1.51209,0.000717546,0.000717546,0.000717546
16,24.533,0.99691,1.69662,1.21338,0.58793,0.88465,0.77628,0.64702,1.29078,2.75785,1.62576,0.000709299,0.000709299,0.000709299
17,25.8363,0.87063,1.46219,1.1507,0.91537,0.69325,0.8047,0.68224,1.14911,2.45694,1.4089,0.000701053,0.000701053,0.000701053
18,27.1576,0.86989,1.49064,1.18599,0.8637,0.66623,0.81348,0.68783,1.01375,2.09898,1.23194,0.000692806,0.000692806,0.000692806
19,28.439,0.86068,1.46085,1.15084,0.67372,0.75645,0.81596,0.68545,1.06334,1.89784,1.24866,0.000684559,0.000684559,0.000684559
20,29.7551,0.87095,1.39073,1.1309,0.54142,0.61222,0.67449,0.52606,1.33636,2.91735,1.57272,0.000676313,0.000676313,0.000676313
21,31.0483,0.89903,1.45681,1.2033,0.59337,0.70575,0.80759,0.66301,1.31059,3.20941,1.55787,0.000668066,0.000668066,0.000668066
22,32.3601,0.92682,1.38402,1.18234,0.91887,0.73824,0.88355,0.73903,1.28835,2.06129,1.41238,0.000659819,0.000659819,0.000659819
23,33.7208,0.81496,1.32881,1.14964,0.92323,0.76799,0.9498,0.81596,1.25732,2.52576,1.41984,0.000651573,0.000651573,0.000651573
24,35.0423,0.9171,1.42115,1.17398,0.88367,0.89269,0.92728,0.78561,1.24044,2.84363,1.35508,0.000643326,0.000643326,0.000643326
25,36.3346,0.86333,1.26964,1.12341,0.82157,0.88943,0.87927,0.71803,1.06516,1.84804,1.22703,0.000635079,0.000635079,0.000635079
26,37.6298,0.82229,1.27491,1.13135,0.68372,0.9251,0.8372,0.66708,1.16166,2.12063,1.37087,0.000626832,0.000626832,0.000626832
27,38.9286,0.8586,1.28125,1.10311,0.78368,0.69672,0.76712,0.62136,1.04727,2.05476,1.3014,0.000618586,0.000618586,0.000618586
28,40.2468,0.88276,1.16074,1.10719,0.54616,0.72619,0.77318,0.6487,1.25071,1.7504,1.55724,0.000610339,0.000610339,0.000610339
29,41.5616,0.78786,1.16274,1.11225,0.60081,0.78665,0.81675,0.68529,1.15405,1.61945,1.51941,0.000602092,0.000602092,0.000602092
30,42.9185,0.80093,1.08323,1.06552,0.82199,0.88986,0.95447,0.80292,1.14021,1.53167,1.36781,0.000593846,0.000593846,0.000593846
31,44.2438,0.77258,1.0838,1.09019,0.82677,0.90084,0.95674,0.81794,1.0758,1.51686,1.31409,0.000585599,0.000585599,0.000585599
32,45.5465,0.82653,1.10735,1.10145,0.88235,0.83526,0.94849,0.83043,1.06078,1.7974,1.2042,0.000577352,0.000577352,0.000577352
33,46.8364,0.79391,1.16638,1.12682,0.83263,0.85601,0.93447,0.82054,1.24771,1.81804,1.35406,0.000569106,0.000569106,0.000569106
34,48.1372,0.85766,1.11695,1.1354,0.87282,0.74253,0.92616,0.8048,1.38105,1.86402,1.60878,0.000560859,0.000560859,0.000560859
35,49.4418,0.77439,1.14077,1.11918,0.93938,0.77004,0.87022,0.74113,1.08575,1.51403,1.36602,0.000552612,0.000552612,0.000552612
36,50.7765,0.83576,1.06681,1.12438,0.92371,0.79942,0.95257,0.81567,1.07064,1.28516,1.27035,0.000544365,0.000544365,0.000544365
37,52.0946,0.80079,1.08893,1.08644,0.92058,0.80355,0.88279,0.76104,1.03255,1.36326,1.28772,0.000536119,0.000536119,0.000536119
38,53.3686,0.75926,1.03208,1.06651,0.86399,0.76509,0.92887,0.79772,1.02052,1.7087,1.26827,0.000527872,0.000527872,0.000527872
39,54.6361,0.77454,0.95362,1.05942,0.73132,0.93323,0.95079,0.82591,1.10201,1.8906,1.25301,0.000519625,0.000519625,0.000519625
40,55.9272,0.75513,1.01442,1.06465,0.87004,0.92493,0.95619,0.81845,1.21232,1.65651,1.29893,0.000511379,0.000511379,0.000511379
41,57.206,0.70019,0.89787,1.05902,0.85049,0.91778,0.95818,0.80864,1.10406,1.42726,1.23011,0.000503132,0.000503132,0.000503132
42,58.5033,0.7454,0.97861,1.07445,0.74643,0.89881,0.93746,0.80315,1.0537,1.41991,1.15281,0.000494885,0.000494885,0.000494885
43,59.7923,0.7649,0.94985,1.06684,0.75135,0.89881,0.93919,0.78469,1.20934,1.8334,1.28721,0.000486639,0.000486639,0.000486639
44,61.096,0.70762,0.92516,1.04796,0.86998,0.94166,0.97692,0.807,1.18096,1.23405,1.28115,0.000478392,0.000478392,0.000478392
45,62.3727,0.78141,0.98713,1.08518,0.85662,0.95562,0.9784,0.82328,1.16209,1.11242,1.2665,0.000470145,0.000470145,0.000470145
46,63.6616,0.74634,0.96214,1.06536,0.90984,0.94787,0.96556,0.81803,1.12325,1.0702,1.20048,0.000461898,0.000461898,0.000461898
47,64.9644,0.71384,0.90223,1.02085,0.89687,0.95052,0.9583,0.81248,1.10003,1.02962,1.18348,0.000453652,0.000453652,0.000453652
48,66.2418,0.827,0.97591,1.11768,0.82504,0.95833,0.95255,0.82869,1.03929,1.00063,1.13765,0.000445405,0.000445405,0.000445405
49,67.5093,0.72656,0.87955,1.05417,0.84135,0.95833,0.94172,0.81161,0.91859,0.94844,1.09844,0.000437158,0.000437158,0.000437158
50,68.7944,0.71518,0.82864,1.0367,0.89077,0.95833,0.9584,0.84021,1.00981,0.96832,1.10322,0.000428912,0.000428912,0.000428912
51,70.0808,0.69623,0.85919,1.03833,0.93174,0.95833,0.96398,0.84412,0.9618,0.95659,1.08227,0.000420665,0.000420665,0.000420665
52,71.3895,0.66634,0.85588,1.03019,0.93744,0.94773,0.95869,0.84155,0.98176,0.9978,1.08489,0.000412418,0.000412418,0.000412418
53,72.7036,0.68209,0.79647,1.01854,0.93214,0.95833,0.95926,0.83293,1.02185,0.98681,1.12087,0.000404172,0.000404172,0.000404172
54,74.0152,0.72853,0.84,1.05276,0.93509,0.92458,0.95713,0.82286,0.99906,1.42634,1.18661,0.000395925,0.000395925,0.000395925
55,75.2891,0.68119,0.81976,1.0438,0.94863,0.88699,0.94865,0.81903,1.03406,1.65642,1.23037,0.000387678,0.000387678,0.000387678
56,76.572,0.73407,0.88027,1.09435,0.9624,0.92577,0.95196,0.85364,0.87862,1.50761,1.12596,0.000379431,0.000379431,0.000379431
