epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.29296,1.59335,4.7131,1.81467,0.00082,0.25,0.01218,0.0033,1.6302,4.95803,2.08213,0.000266667,0.000266667,0.000266667
2,7.09619,1.62358,4.57929,1.86175,0.00067,0.20833,0.01134,0.00349,1.61095,4.96503,2.05656,0.00059406,0.00059406,0.00059406
3,7.86019,1.63244,4.6464,1.91439,0.0007,0.20833,0.00964,0.00274,1.58766,4.99012,2.0326,0.000914853,0.000914853,0.000914853
4,8.62804,1.57309,4.53246,1.81593,0.00074,0.20833,0.00625,0.00216,1.64354,5.00162,2.09083,0.0009703,0.0009703,0.0009703
5,9.50472,1.76302,4.53905,1.93606,0.002,0.5,0.004,0.00126,2.80903,5.44222,3.0596,0.0009604,0.0009604,0.0009604
6,10.371,1.82442,4.34526,1.90852,0.00052,0.33333,0.0309,0.01314,2.29413,5.33845,2.5692,0.0009505,0.0009505,0.0009505
7,11.2565,1.97363,4.24861,2.14677,0.0005,0.33333,0.0068,0.0037,2.27749,5.72382,2.58144,0.0009406,0.0009406,0.0009406
8,12.1296,1.93473,4.01987,2.13256,0.00043,0.22222,0.00612,0.00187,2.72763,6.01084,3.33858,0.0009307,0.0009307,0.0009307
9,13.0227,1.81158,3.83686,2.03761,0.00016,0.11111,0.00028,5e-05,3.92218,6.91292,7.10622,0.0009208,0.0009208,0.0009208
10,13.8962,1.93646,3.97992,2.1608,0.00013,0.08333,9e-05,1e-05,4.04095,7.09633,8.00894,0.0009109,0.0009109,0.0009109
11,14.7672,1.77399,3.58185,1.99984,0.0001,0.05556,0.00018,4e-05,3.84009,6.68893,9.0108,0.000901,0.000901,0.000901
12,15.659,1.78335,3.50923,1.96768,0.00657,0.13889,0.00515,0.00141,3.66516,6.47508,7.3386,0.0008911,0.0008911,0.0008911
13,16.573,1.83272,3.39305,2.05657,0.99275,0.04167,0.07225,0.02759,3.20278,5.65134,5.96006,0.0008812,0.0008812,0.0008812
14,17.45,1.67906,3.29459,1.91167,0.99123,0.04167,0.10052,0.05129,3.02407,5.43386,4.37993,0.0008713,0.0008713,0.0008713
15,18.329,1.65117,3.12221,1.85988,0.74211,0.08333,0.16341,0.07943,2.45541,4.97243,3.13607,0.0008614,0.0008614,0.0008614
16,19.2428,1.70987,3.18211,1.92966,0.61831,0.125,0.26014,0.1488,1.99051,4.34747,2.53868,0.0008515,0.0008515,0.0008515
17,20.1544,1.55452,2.91344,1.80992,0.73654,0.18056,0.38372,0.16308,2.09411,4.25018,2.62597,0.0008416,0.0008416,0.0008416
18,21.0523,1.54072,2.86091,1.80226,0.82009,0.19444,0.25805,0.17829,2.11576,4.50684,2.53408,0.0008317,0.0008317,0.0008317
19,21.9328,1.63138,3.01653,1.98147,0.75034,0.2424,0.28084,0.21425,2.00642,4.4897,2.48359,0.0008218,0.0008218,0.0008218
20,22.8196,1.62139,2.93646,1.83327,0.82619,0.13889,0.21644,0.16345,1.7808,4.58749,2.159,0.0008119,0.0008119,0.0008119
21,23.7159,1.5608,2.70108,1.77142,0.63815,0.13889,0.21648,0.17645,2.13613,4.42702,2.52002,0.000802,0.000802,0.000802
22,24.5722,1.47423,2.67631,1.77565,0.67202,0.27158,0.26935,0.17188,1.97591,4.07253,2.39193,0.0007921,0.0007921,0.0007921
23,25.4436,1.52701,2.73288,1.83599,0.63513,0.19444,0.1744,0.11481,1.95727,4.06646,2.44277,0.0007822,0.0007822,0.0007822
24,26.3189,1.42099,2.50732,1.68591,0.68856,0.22255,0.24328,0.17991,1.8284,4.04363,2.49116,0.0007723,0.0007723,0.0007723
25,27.2343,1.46804,2.47728,1.75704,0.80808,0.25214,0.29297,0.21471,1.98968,3.75988,2.40769,0.0007624,0.0007624,0.0007624
26,28.1329,1.44268,2.36898,1.69107,0.85115,0.26389,0.32224,0.24961,1.95595,3.79476,2.26855,0.0007525,0.0007525,0.0007525
27,29.0324,1.44136,2.36055,1.76979,0.82359,0.2917,0.35054,0.26793,1.99067,3.62963,2.24535,0.0007426,0.0007426,0.0007426
28,29.9096,1.38493,2.38504,1.61623,0.95351,0.38819,0.51453,0.34491,1.88943,3.38919,2.18922,0.0007327,0.0007327,0.0007327
29,30.8131,1.48142,2.54314,1.70434,0.80317,0.30556,0.34244,0.26731,1.61063,3.25034,1.93739,0.0007228,0.0007228,0.0007228
30,31.6797,1.39525,2.41176,1.73607,0.78723,0.30556,0.351,0.26468,1.61451,3.27462,1.98873,0.0007129,0.0007129,0.0007129
31,32.5225,1.45344,2.33402,1.77066,0.82142,0.27648,0.38232,0.27257,1.69876,3.41345,2.1015,0.000703,0.000703,0.000703
32,33.3826,1.42722,2.33983,1.68978,0.84697,0.32824,0.40472,0.31851,1.79745,3.30744,2.19809,0.0006931,0.0006931,0.0006931
33,34.2929,1.40162,2.20296,1.68896,0.94079,0.41667,0.4632,0.36049,1.62053,3.10707,2.00628,0.0006832,0.0006832,0.0006832
34,35.1446,1.24503,2.11551,1.61381,0.95228,0.38831,0.48408,0.34852,1.55708,2.99888,1.9656,0.0006733,0.0006733,0.0006733
35,36.0989,1.18829,2.1055,1.53541,0.93344,0.44444,0.58298,0.41063,1.50164,2.83135,1.87478,0.0006634,0.0006634,0.0006634
36,37.0131,1.32711,2.28698,1.67968,0.97426,0.44444,0.57989,0.38884,1.38903,2.73618,1.76604,0.0006535,0.0006535,0.0006535
37,37.8928,1.3051,2.23777,1.59299,0.89877,0.38889,0.60516,0.39955,1.38942,2.45497,1.7695,0.0006436,0.0006436,0.0006436
38,38.7545,1.24893,2.06923,1.55869,0.67095,0.52778,0.60444,0.3833,1.45045,2.52721,1.84432,0.0006337,0.0006337,0.0006337
39,39.6231,1.37317,2.14443,1.62266,0.55605,0.61508,0.61807,0.36826,1.53104,2.89511,1.91196,0.0006238,0.0006238,0.0006238
40,40.4814,1.21871,2.17558,1.55295,0.59784,0.57031,0.58171,0.36524,1.50171,2.99371,1.90458,0.0006139,0.0006139,0.0006139
41,41.3643,1.4203,2.21408,1.70087,0.76753,0.48611,0.57065,0.34293,1.44755,2.6411,1.91886,0.000604,0.000604,0.000604
42,42.2441,1.30581,1.92197,1.6214,0.96779,0.45232,0.61435,0.36055,1.43436,2.50368,1.8996,0.0005941,0.0005941,0.0005941
43,43.1344,1.2644,1.94178,1.58037,0.86623,0.47222,0.50732,0.33644,1.48037,2.45061,1.94426,0.0005842,0.0005842,0.0005842
